Edad,Genero_Cod,Numero_Inasistencias,Animacion_Lectura_Cod,Anio_Escolar_Cod,Porc_Asistencia_Refuerzo,Estado_Salud_Emocional,Acompanamiento_Integral_Cod,Orientacion_Vocacional_Cod,Participacion_Extracurriculares,Promedio_Anual,Promedio_5CAT
17,1,9,6,4,0.0,0,8,8,2,7.06,B
18,0,8,9,4,0.0,0,6,6,2,7.78,B
18,1,9,8,5,0.0,0,8,8,2,6.73,B
18,1,11,5,5,0.0,1,8,8,2,7.6,B
14,1,6,7,1,0.0,1,6,8,0,5.59,C
18,0,11,5,5,0.0,1,6,7,5,6.52,B
16,0,8,8,2,0.0,1,8,8,4,6.62,B
16,1,8,5,3,0.0,0,6,8,1,5.99,C
14,1,7,4,1,53.0,0,5,8,0,6.39,B
17,1,9,8,4,0.0,1,7,5,1,7.6,B
15,0,6,7,1,0.0,0,3,8,2,6.5,B
16,1,6,6,2,0.0,0,6,7,0,8.24,A
14,0,7,6,1,87.0,0,4,7,3,6.52,B
13,0,6,6,0,0.0,0,6,10,4,5.64,C
15,1,8,8,2,0.0,1,8,10,0,6.72,B
15,1,6,4,1,54.0,0,3,7,1,6.25,B
13,0,5,5,0,73.0,0,8,6,3,5.82,C
15,1,5,10,1,92.0,1,9,8,2,6.63,B
13,1,4,7,0,97.0,0,3,5,1,5.46,C
14,1,6,8,0,0.0,0,5,1,1,4.38,C
17,1,9,4,3,0.0,2,6,6,3,5.97,C
14,1,6,8,0,67.0,1,7,7,0,7.86,B
13,1,6,7,0,0.0,0,6,7,3,6.04,B
14,1,6,8,1,94.0,1,6,7,1,5.72,C
16,1,6,8,2,0.0,1,7,8,3,6.6,B
15,0,7,3,2,100.0,0,2,3,1,4.36,C
16,0,7,6,2,0.0,0,5,7,3,6.46,B
14,1,4,1,0,0.0,1,7,5,1,4.09,C
13,0,5,9,0,61.0,0,10,1,3,5.27,C
13,1,5,6,0,100.0,0,8,1,0,5.15,C
13,0,5,4,0,72.0,2,3,1,3,4.26,C
13,1,6,9,0,67.0,0,4,8,0,6.82,B
14,0,8,9,1,84.0,0,8,6,3,7.65,B
15,1,6,5,1,0.0,1,6,4,0,6.25,B
17,0,9,7,4,0.0,0,5,8,4,7.75,B
19,1,9,5,5,0.0,0,8,5,4,7.29,B
15,1,7,9,2,0.0,1,4,2,3,6.03,B
15,0,8,8,1,96.0,0,1,7,2,6.66,B
14,1,6,7,0,0.0,1,8,1,0,6.44,B
15,1,6,4,1,0.0,0,5,5,3,6.71,B
14,0,5,9,0,0.0,0,6,8,2,6.61,B
15,1,6,5,1,93.0,1,10,7,1,8.64,A
14,1,5,10,0,69.0,0,9,7,2,7.35,B
14,0,5,9,0,0.0,2,6,5,4,5.35,C
16,1,6,8,2,82.0,0,8,4,3,7.89,B
14,1,6,2,1,0.0,2,6,8,0,5.88,C
14,1,6,4,1,0.0,0,6,7,1,5.99,C
15,1,7,5,2,0.0,1,8,5,0,6.32,B
17,0,10,8,3,0.0,0,7,2,3,5.98,C
14,1,7,7,1,65.0,0,5,7,1,7.09,B
16,1,7,8,3,0.0,0,9,6,2,8.12,A
14,1,6,10,1,0.0,2,3,6,1,1.62,E
13,1,5,7,0,0.0,1,4,8,2,6.03,B
17,1,8,6,3,0.0,1,8,6,4,6.64,B
15,1,7,6,2,0.0,0,5,5,1,6.32,B
15,0,7,7,1,90.0,0,8,7,2,6.36,B
14,1,7,7,1,0.0,0,6,6,2,7.85,B
13,0,5,3,0,59.0,0,9,3,2,5.2,C
14,1,6,8,1,76.0,0,8,6,2,6.33,B
18,0,11,6,5,0.0,0,3,6,5,5.27,C
15,1,7,7,1,0.0,1,6,9,3,7.56,B
13,1,6,6,0,0.0,1,8,7,3,5.59,C
16,1,6,6,2,81.0,1,8,9,1,8.26,A
13,1,5,6,0,0.0,0,4,6,3,6.97,B
15,0,6,6,2,0.0,0,9,7,1,6.93,B
15,0,8,5,1,51.0,0,6,6,1,6.44,B
13,1,5,7,0,0.0,0,7,7,2,7.07,B
13,1,5,4,0,0.0,0,4,5,2,5.83,C
15,1,7,7,2,66.0,2,6,5,0,5.19,C
13,0,6,7,0,64.0,2,7,6,1,6.49,B
16,0,8,6,3,89.0,0,1,8,3,7.06,B
15,0,5,6,1,79.0,0,6,7,3,5.72,C
17,1,8,8,3,0.0,0,5,8,2,5.57,C
19,1,10,5,5,0.0,0,9,7,3,6.46,B
17,1,8,7,4,54.0,1,8,5,2,5.92,C
15,1,6,5,2,72.0,0,6,6,3,5.81,C
16,1,8,5,2,50.0,1,8,10,3,6.28,B
14,1,6,6,0,0.0,1,9,2,1,6.79,B
14,1,6,7,0,0.0,0,7,6,3,6.68,B
14,1,5,8,0,0.0,2,5,7,2,5.55,C
13,1,6,8,0,0.0,1,6,5,1,4.84,C
16,1,7,7,2,0.0,0,10,8,2,6.9,B
15,1,7,10,2,0.0,0,5,10,3,7.5,B
14,0,6,5,1,67.0,0,4,6,3,4.84,C
15,0,7,6,2,0.0,0,6,6,4,7.07,B
13,0,7,6,0,80.0,1,7,8,4,7.26,B
15,1,7,7,2,0.0,0,5,7,3,6.93,B
13,0,6,3,0,0.0,0,8,7,3,5.03,C
16,0,8,8,2,0.0,1,6,8,4,4.25,C
13,1,6,5,0,94.0,0,7,5,3,4.77,C
13,1,4,9,0,0.0,2,7,8,2,6.52,B
15,1,5,8,1,0.0,0,8,8,1,7.24,B
14,1,7,3,1,0.0,0,5,6,0,6.11,B
16,1,9,8,3,0.0,0,8,7,2,6.91,B
14,1,5,7,0,0.0,0,8,6,2,5.38,C
14,1,5,7,0,94.0,1,4,6,1,5.76,C
15,1,8,4,2,0.0,0,5,6,3,5.76,C
17,0,9,6,4,53.0,0,5,4,4,6.56,B
14,1,5,5,1,0.0,0,7,8,0,7.34,B
15,1,6,5,1,0.0,0,7,2,0,5.46,C
14,1,5,6,0,88.0,1,7,8,1,6.65,B
16,1,8,6,3,0.0,1,8,7,3,6.34,B
13,1,4,5,0,0.0,1,10,2,1,5.74,C
15,0,8,7,2,55.0,0,7,6,2,7.23,B
13,0,5,1,0,76.0,0,4,6,4,6.63,B
15,1,6,7,2,0.0,0,7,7,2,7.92,B
14,1,5,6,0,0.0,0,3,6,0,6.44,B
14,1,6,7,1,0.0,2,7,8,3,5.7,C
14,1,6,6,1,0.0,0,8,7,2,6.09,B
13,0,5,5,0,0.0,2,6,7,3,4.66,C
15,0,7,7,2,0.0,0,8,7,1,6.64,B
16,1,8,4,2,0.0,1,6,4,2,1.84,E
14,1,6,7,1,0.0,0,5,6,0,6.15,B
16,1,9,4,3,0.0,1,7,7,3,5.62,C
13,1,4,6,0,98.0,0,6,7,2,7.68,B
14,1,5,7,0,0.0,0,10,6,2,6.0,C
14,1,7,7,1,0.0,2,4,6,0,4.82,C
14,1,6,5,1,70.0,0,5,7,0,5.44,C
14,1,6,7,1,0.0,1,7,1,0,4.96,C
13,1,6,4,0,0.0,2,5,6,2,4.38,C
14,1,5,6,0,92.0,1,7,7,3,7.14,B
16,1,8,6,3,0.0,1,3,8,4,6.02,B
17,1,9,6,4,0.0,1,8,7,3,7.58,B
18,0,9,5,5,90.0,0,5,5,3,7.21,B
14,0,8,7,1,0.0,0,8,5,4,6.53,B
14,0,6,7,1,57.0,0,7,8,2,6.46,B
16,0,7,8,2,76.0,1,4,6,4,6.63,B
15,0,7,8,2,62.0,0,5,8,2,6.21,B
14,1,5,7,0,50.0,1,8,7,2,6.53,B
18,1,10,7,4,0.0,1,7,6,2,6.78,B
15,1,8,9,2,0.0,1,7,3,2,6.24,B
13,1,5,8,0,0.0,1,6,7,2,5.53,C
15,1,6,4,1,64.0,0,7,7,3,6.37,B
15,0,7,7,1,0.0,0,7,6,4,7.65,B
16,1,7,5,3,0.0,0,5,8,2,6.71,B
14,1,6,5,1,0.0,2,10,4,3,5.49,C
14,0,5,3,1,96.0,2,5,1,2,4.57,C
13,0,5,5,0,0.0,0,6,7,3,5.62,C
14,1,5,8,0,71.0,0,3,6,3,4.94,C
15,1,5,7,1,0.0,0,8,9,0,6.92,B
15,1,7,5,2,0.0,0,4,3,3,5.97,C
15,1,7,6,2,94.0,0,5,7,2,7.25,B
16,1,8,7,3,0.0,0,6,8,3,6.02,B
14,1,7,6,1,86.0,2,7,5,1,5.3,C
14,0,8,4,1,0.0,0,7,3,2,5.05,C
14,1,5,5,1,79.0,0,7,7,2,6.56,B
17,0,9,7,4,0.0,1,6,5,3,6.49,B
13,1,6,6,0,90.0,0,9,2,3,7.4,B
14,1,7,7,1,0.0,0,4,5,3,6.49,B
14,0,7,3,1,0.0,0,9,8,3,6.29,B
18,1,9,3,4,0.0,0,6,5,1,5.63,C
18,1,9,3,5,0.0,0,7,7,1,6.81,B
16,1,7,5,3,0.0,0,4,8,3,6.78,B
15,0,7,8,1,0.0,1,6,6,2,5.84,C
15,1,5,9,1,0.0,0,5,7,2,6.09,B
16,1,7,5,2,96.0,0,8,8,1,6.31,B
14,0,5,7,1,58.0,0,8,8,3,6.96,B
13,1,6,6,0,68.0,0,6,6,2,7.17,B
13,1,5,8,0,0.0,0,3,5,2,6.41,B
13,1,5,7,0,0.0,2,5,8,0,4.69,C
15,1,7,6,1,87.0,0,6,6,3,6.58,B
13,1,5,9,0,0.0,0,7,5,2,6.69,B
15,1,6,6,1,0.0,1,9,7,3,6.86,B
16,1,7,5,2,0.0,0,7,7,0,6.12,B
14,1,7,5,1,81.0,0,7,6,0,5.28,C
17,1,9,7,4,0.0,0,8,6,3,6.71,B
14,1,6,8,1,0.0,1,7,6,3,7.02,B
15,1,8,8,2,67.0,1,6,8,0,6.75,B
13,0,5,8,0,0.0,0,8,6,3,7.52,B
19,0,11,6,5,72.0,0,6,5,2,7.21,B
13,1,5,7,0,0.0,0,4,8,1,7.55,B
15,1,6,5,2,0.0,0,6,5,2,6.07,B
18,1,9,4,4,0.0,1,8,9,1,7.8,B
14,1,5,6,0,64.0,2,7,8,2,7.17,B
13,1,5,5,0,58.0,0,5,6,2,5.89,C
14,1,6,8,1,0.0,1,8,4,2,6.77,B
13,1,5,7,0,0.0,0,8,8,1,6.82,B
14,1,6,6,1,0.0,0,8,3,0,5.41,C
15,0,7,9,2,99.0,0,6,7,3,7.53,B
16,0,7,4,2,0.0,1,7,4,1,5.01,C
14,1,6,8,1,91.0,2,9,7,0,6.61,B
16,1,7,5,2,0.0,1,10,5,3,7.7,B
14,1,5,3,1,0.0,0,3,7,2,6.85,B
15,1,6,6,2,67.0,1,7,3,2,5.41,C
15,1,8,5,2,0.0,1,8,10,0,7.15,B
15,1,6,8,1,0.0,0,3,6,3,5.47,C
17,1,9,8,4,0.0,1,5,7,4,6.58,B
15,1,5,2,1,0.0,0,5,4,2,5.08,C
14,1,6,2,0,0.0,1,7,8,2,5.18,C
14,0,5,8,1,55.0,1,7,4,1,6.99,B
14,1,6,9,1,0.0,0,7,7,2,6.97,B
15,1,7,5,2,92.0,0,1,4,3,3.52,D
16,1,9,8,3,0.0,1,8,3,1,5.33,C
15,0,7,8,2,92.0,0,8,8,4,7.4,B
16,1,8,5,3,0.0,1,8,6,3,6.82,B
16,0,9,7,3,0.0,0,7,9,2,6.3,B
14,1,5,6,1,67.0,0,1,5,2,5.24,C
14,1,6,9,1,0.0,0,10,6,0,5.93,C
13,1,4,5,0,74.0,0,7,5,3,6.21,B
14,1,7,5,1,99.0,0,8,7,0,7.35,B
16,1,7,7,3,0.0,0,2,10,3,5.54,C
13,1,6,3,0,0.0,1,8,7,3,5.08,C
15,1,6,5,1,0.0,1,6,4,2,5.85,C
14,1,7,7,1,83.0,2,6,8,2,6.25,B
13,1,4,6,0,0.0,0,4,7,1,7.0,B
17,1,10,5,4,0.0,1,8,6,3,6.73,B
15,0,7,7,2,0.0,0,3,5,4,5.26,C
13,0,6,8,0,0.0,1,6,7,2,6.51,B
14,0,6,7,0,54.0,0,5,5,4,5.58,C
15,1,6,8,2,0.0,0,6,2,2,6.43,B
14,1,6,5,0,95.0,1,6,7,3,5.61,C
13,1,5,9,0,0.0,1,7,8,3,6.7,B
15,1,7,6,2,0.0,0,7,5,0,6.16,B
15,1,6,6,1,83.0,0,7,6,0,7.76,B
16,1,8,1,3,0.0,0,10,6,2,6.18,B
14,1,5,8,0,0.0,0,7,5,1,5.48,C
17,0,9,3,3,59.0,1,7,9,3,6.67,B
16,0,10,2,3,0.0,0,6,8,3,5.57,C
16,1,9,9,3,0.0,2,7,7,4,6.41,B
14,1,7,6,1,90.0,0,5,5,2,7.56,B
14,0,7,4,1,69.0,0,4,7,3,5.26,C
16,1,9,6,3,0.0,0,8,9,4,7.63,B
13,1,6,7,0,68.0,0,6,4,0,6.92,B
14,1,5,7,0,79.0,2,8,5,0,5.55,C
15,1,7,5,2,82.0,0,8,6,1,7.58,B
16,0,6,7,2,82.0,0,3,7,2,6.37,B
13,1,5,4,0,0.0,0,6,6,2,5.66,C
14,1,7,6,1,0.0,0,4,5,2,6.23,B
13,1,5,7,0,0.0,0,8,9,0,5.85,C
17,1,9,8,3,0.0,0,10,6,3,7.45,B
14,1,7,8,1,0.0,0,1,7,0,5.03,C
14,1,7,8,1,0.0,0,6,8,3,6.62,B
14,1,5,5,0,0.0,1,8,8,2,6.93,B
14,0,6,6,0,58.0,0,5,9,1,6.7,B
15,1,7,5,2,0.0,0,6,7,2,6.56,B
14,1,6,7,1,99.0,0,3,8,3,6.49,B
15,0,7,8,2,100.0,0,4,7,1,6.19,B
17,1,9,6,4,0.0,0,6,7,2,6.24,B
15,1,6,6,2,0.0,1,9,6,1,7.01,B
15,1,8,5,2,0.0,0,9,7,0,9.41,A
16,1,6,3,2,78.0,1,10,1,2,5.78,C
15,1,6,8,1,0.0,0,7,9,2,7.07,B
16,1,8,6,3,0.0,0,8,6,4,7.93,B
14,1,5,8,0,60.0,0,8,7,1,7.68,B
14,1,6,6,0,73.0,1,3,9,0,5.57,C
17,0,8,8,4,0.0,0,8,6,4,7.76,B
15,0,7,10,2,55.0,0,7,8,2,5.64,C
13,1,6,6,0,82.0,1,7,3,2,5.99,C
14,1,5,5,1,0.0,0,7,6,2,6.36,B
14,0,5,8,1,52.0,2,6,7,3,5.37,C
14,1,6,7,1,55.0,0,6,6,0,5.67,C
14,1,5,6,0,57.0,1,7,8,2,5.12,C
15,0,7,6,2,90.0,0,6,7,4,6.72,B
18,1,8,4,4,0.0,1,6,8,2,7.99,B
13,1,6,7,0,50.0,0,7,5,2,7.33,B
14,0,6,6,0,0.0,1,3,1,1,4.66,C
13,0,6,5,0,84.0,0,5,7,1,5.76,C
16,1,8,8,3,0.0,0,6,5,1,7.94,B
14,0,6,7,1,0.0,2,5,4,1,4.16,C
14,0,6,4,1,0.0,1,7,4,3,5.52,C
16,1,6,4,2,99.0,1,8,3,3,6.76,B
16,1,8,8,3,95.0,1,4,8,4,6.15,B
13,1,4,5,0,70.0,0,5,5,2,5.77,C
15,1,7,2,2,98.0,0,6,6,1,6.06,B
14,0,5,6,1,73.0,0,7,4,4,7.33,B
15,0,6,8,2,81.0,1,5,6,4,4.98,C
15,1,6,7,1,0.0,0,8,10,0,7.04,B
15,0,8,7,2,0.0,0,7,6,3,7.22,B
15,1,7,5,2,0.0,0,7,1,2,5.63,C
17,1,9,7,3,0.0,0,8,5,2,6.28,B
15,0,8,4,2,52.0,1,7,7,3,5.57,C
13,1,5,9,0,0.0,0,4,8,2,6.66,B
13,1,4,5,0,88.0,2,4,8,3,5.25,C
16,0,8,5,2,73.0,1,6,8,4,6.06,B
18,1,10,7,4,0.0,2,5,7,3,5.91,C
15,1,6,6,2,0.0,0,7,8,2,6.36,B
16,1,7,7,2,65.0,0,5,8,0,6.29,B
15,1,7,9,1,85.0,0,8,7,0,6.95,B
18,0,12,6,5,68.0,1,6,8,5,6.38,B
17,1,8,8,4,0.0,0,7,8,4,7.39,B
18,1,9,7,4,0.0,0,5,7,1,7.13,B
14,1,7,5,1,60.0,0,7,6,1,7.18,B
18,0,9,4,5,0.0,0,6,5,3,5.81,C
18,0,12,8,5,0.0,0,5,6,4,7.52,B
13,1,5,7,0,0.0,0,4,7,0,4.92,C
14,1,5,8,0,0.0,0,9,7,3,6.9,B
15,0,7,6,2,0.0,0,8,7,3,7.08,B
13,1,5,6,0,93.0,0,7,6,2,8.01,A
15,1,7,7,2,0.0,0,5,10,3,6.25,B
14,1,6,8,1,69.0,1,7,7,1,6.68,B
15,0,9,8,2,0.0,1,9,7,3,5.51,C
15,1,8,9,2,0.0,0,5,2,1,6.64,B
17,1,8,7,3,0.0,0,4,6,2,5.39,C
13,1,5,9,0,0.0,1,6,3,2,6.42,B
15,1,7,5,2,52.0,2,6,7,2,5.68,C
15,0,8,8,1,51.0,0,8,5,4,7.51,B
14,0,5,3,1,0.0,0,5,3,4,5.16,C
16,1,7,9,3,0.0,1,7,7,2,6.82,B
16,1,9,5,3,0.0,0,7,6,2,6.73,B
13,1,6,4,0,0.0,0,8,6,2,5.93,C
13,1,5,4,0,0.0,0,5,6,2,5.7,C
15,1,8,6,2,65.0,0,7,4,3,6.67,B
16,1,8,5,3,0.0,0,7,8,1,7.1,B
14,1,5,9,0,65.0,2,9,5,1,5.86,C
14,1,6,4,1,0.0,1,7,6,3,6.17,B
17,1,9,3,4,0.0,0,8,6,4,6.91,B
14,0,7,7,1,79.0,0,2,3,2,5.03,C
13,1,6,8,0,0.0,0,7,6,3,4.73,C
16,1,8,6,3,0.0,0,6,1,1,6.6,B
14,1,6,7,1,98.0,0,5,8,3,7.03,B
16,1,6,6,2,73.0,1,5,7,2,8.01,A
19,1,11,7,5,0.0,2,7,6,1,6.18,B
14,1,7,7,1,0.0,2,7,6,2,5.25,C
15,0,7,5,2,88.0,0,10,5,4,7.87,B
13,0,7,8,0,0.0,1,7,7,3,4.78,C
13,1,4,7,0,88.0,1,6,7,1,7.19,B
16,1,9,1,3,0.0,1,8,6,3,5.31,C
15,1,7,6,1,95.0,0,6,9,2,5.54,C
14,1,4,5,0,76.0,0,5,5,2,6.13,B
15,1,7,7,1,0.0,0,6,8,2,4.83,C
17,1,7,9,3,0.0,0,8,8,1,8.81,A
13,1,5,1,0,0.0,0,8,8,1,6.34,B
15,0,8,7,2,94.0,0,5,5,1,7.06,B
14,1,5,7,1,0.0,0,7,6,3,6.82,B
16,1,8,6,3,0.0,0,5,8,1,5.97,C
14,0,4,5,0,85.0,0,7,7,3,6.05,B
15,0,6,5,2,0.0,0,7,7,4,6.04,B
16,1,7,8,2,0.0,0,6,4,2,6.64,B
15,1,6,7,2,0.0,1,6,7,2,7.24,B
13,0,6,5,0,99.0,0,6,4,3,6.54,B
14,1,7,7,1,0.0,0,6,8,2,7.64,B
13,1,4,7,0,86.0,1,8,7,3,6.44,B
13,1,6,7,0,0.0,1,6,6,0,5.94,C
18,1,9,6,4,0.0,0,6,2,4,6.6,B
16,1,8,3,2,0.0,1,3,8,2,5.3,C
16,1,6,7,2,0.0,0,6,8,1,6.08,B
13,1,4,6,0,0.0,0,2,4,0,5.3,C
13,0,7,9,0,0.0,0,7,1,4,5.3,C
13,0,6,7,0,60.0,1,5,5,4,6.23,B
18,1,11,6,5,0.0,1,4,7,3,6.16,B
14,1,5,4,1,84.0,1,7,5,0,6.48,B
13,1,6,8,0,61.0,1,5,6,2,4.97,C
15,1,6,1,1,0.0,0,7,7,2,5.61,C
15,1,7,7,1,0.0,2,3,6,1,5.16,C
13,1,5,7,0,0.0,1,6,9,0,5.49,C
14,1,5,6,0,91.0,1,6,4,2,7.05,B
13,0,7,4,0,93.0,0,2,7,2,4.93,C
16,0,9,7,3,0.0,0,5,5,4,6.83,B
18,0,8,4,4,61.0,1,7,3,3,6.18,B
18,0,11,3,5,65.0,0,6,5,5,6.77,B
15,1,6,6,1,0.0,1,8,2,2,5.5,C
19,1,9,6,5,0.0,0,6,9,1,7.05,B
15,0,8,8,2,0.0,1,6,8,2,5.86,C
15,0,7,6,1,94.0,0,5,3,1,5.84,C
16,1,7,6,3,0.0,0,8,5,2,7.65,B
13,1,6,6,0,0.0,0,6,7,3,5.97,C
15,0,9,6,2,92.0,0,8,5,2,5.53,C
15,1,6,9,1,0.0,0,8,3,2,7.19,B
13,1,4,1,0,0.0,0,5,5,1,4.51,C
14,1,6,3,1,0.0,0,6,5,2,5.43,C
15,1,6,9,2,0.0,0,8,10,3,7.83,B
13,1,5,1,0,79.0,0,9,8,1,8.7,A
13,0,7,2,0,0.0,0,10,5,4,6.8,B
17,1,7,5,3,0.0,0,8,9,4,6.65,B
15,0,6,5,1,87.0,1,8,7,1,5.47,C
14,1,4,7,0,0.0,1,6,4,0,6.52,B
17,1,10,6,4,0.0,1,8,5,2,7.48,B
14,0,6,8,1,78.0,1,8,4,4,7.1,B
13,1,5,7,0,0.0,0,5,8,0,5.12,C
16,1,8,7,3,0.0,0,3,7,2,5.65,C
14,1,6,7,1,93.0,0,6,5,3,7.52,B
15,1,7,6,2,59.0,1,6,7,2,6.02,B
15,1,6,8,1,89.0,0,7,7,0,7.0,B
14,0,4,6,0,0.0,0,10,6,4,6.58,B
13,1,5,8,0,0.0,0,6,5,3,6.48,B
16,0,6,6,2,98.0,1,10,8,1,7.45,B
17,1,8,7,3,0.0,0,7,4,3,5.5,C
14,1,6,7,1,76.0,0,4,7,2,6.52,B
14,1,5,5,0,0.0,2,8,6,3,6.65,B
15,1,8,10,2,0.0,0,5,10,3,7.1,B
15,1,7,7,1,76.0,1,9,7,1,6.37,B
14,0,6,5,1,0.0,1,6,2,2,4.37,C
15,1,7,7,2,0.0,2,7,5,3,5.85,C
15,0,6,9,1,74.0,0,7,10,2,7.47,B
16,1,8,5,3,0.0,1,1,8,1,6.15,B
13,1,5,4,0,74.0,0,3,10,0,7.66,B
18,1,11,6,5,0.0,0,8,7,2,6.65,B
14,1,6,7,1,62.0,0,8,6,0,5.92,C
14,0,6,8,0,0.0,2,7,6,2,3.97,D
15,1,7,7,1,0.0,0,7,4,2,6.34,B
15,1,6,6,1,0.0,0,3,7,2,6.43,B
14,1,6,7,0,0.0,0,7,6,3,7.59,B
15,0,6,6,2,0.0,2,9,7,3,6.29,B
17,1,8,4,4,0.0,0,7,8,2,6.64,B
15,1,6,5,1,68.0,0,8,8,1,6.41,B
16,1,7,8,2,0.0,1,4,7,3,5.62,C
15,0,7,7,2,0.0,1,5,7,4,6.0,C
18,1,9,8,4,0.0,0,5,5,2,6.17,B
16,0,8,9,3,0.0,0,2,5,2,5.17,C
17,1,9,8,4,0.0,0,6,4,1,7.01,B
14,0,5,7,0,54.0,2,7,8,2,4.47,C
17,0,9,8,4,0.0,1,7,7,5,6.54,B
15,1,6,6,2,84.0,1,5,7,3,5.02,C
14,1,5,7,0,0.0,0,7,5,0,5.35,C
16,1,7,2,3,0.0,2,8,5,1,5.51,C
14,0,5,6,1,0.0,0,8,2,3,4.99,C
13,0,4,7,0,0.0,0,6,8,3,4.58,C
15,0,6,3,1,0.0,0,6,9,2,5.57,C
17,0,10,3,3,98.0,2,8,7,2,5.6,C
15,1,6,7,1,53.0,0,8,8,0,7.49,B
14,1,6,8,1,0.0,0,7,4,0,5.84,C
15,1,7,6,2,0.0,1,7,9,3,7.35,B
16,1,8,5,3,0.0,0,8,8,1,6.39,B
16,0,8,3,3,0.0,1,6,7,3,5.52,C
13,1,5,7,0,0.0,0,5,5,1,6.57,B
17,1,9,10,3,0.0,0,3,8,3,7.18,B
14,1,5,7,0,82.0,0,6,10,2,7.16,B
14,0,6,5,1,0.0,0,6,5,4,5.08,C
16,1,7,7,2,0.0,0,6,6,3,6.31,B
15,1,8,6,2,0.0,1,3,7,3,5.76,C
14,1,5,8,0,0.0,0,7,7,0,6.9,B
15,1,6,7,2,0.0,0,6,10,0,6.31,B
16,1,8,8,3,0.0,0,3,6,4,6.68,B
15,1,6,4,2,0.0,0,5,9,0,7.02,B
13,1,6,7,0,0.0,0,6,8,0,6.27,B
17,0,10,5,4,0.0,2,5,8,5,6.23,B
15,1,6,6,1,0.0,1,5,9,0,5.6,C
14,1,5,5,1,88.0,2,8,6,2,4.9,C
15,1,7,6,2,0.0,1,8,5,1,7.17,B
17,0,11,5,4,0.0,0,7,8,5,7.93,B
17,1,10,2,4,0.0,1,4,8,3,6.3,B
14,1,6,7,1,77.0,1,5,4,2,6.65,B
16,1,8,6,3,0.0,0,9,9,2,7.59,B
17,0,10,7,3,0.0,0,7,2,3,5.68,C
15,1,8,6,2,0.0,0,6,7,0,6.14,B
14,1,5,6,0,71.0,0,8,7,3,6.51,B
18,0,10,1,5,0.0,0,10,6,4,7.4,B
13,1,6,6,0,0.0,0,8,4,1,6.37,B
15,1,8,7,2,86.0,0,5,3,1,7.84,B
18,1,9,7,5,0.0,1,6,5,2,7.42,B
13,1,5,9,0,0.0,0,7,8,3,7.76,B
13,1,6,6,0,94.0,1,8,9,0,6.8,B
15,1,7,6,1,65.0,0,7,7,2,6.47,B
13,0,4,7,0,78.0,0,7,7,4,6.36,B
14,0,5,8,0,84.0,0,6,9,1,5.38,C
16,0,7,6,2,0.0,0,4,1,1,3.67,D
14,1,6,7,1,0.0,1,5,10,3,6.07,B
16,0,8,7,3,0.0,0,7,6,2,6.35,B
