Promedio_Anual,Calificacion_Cualitativa,Edad,Genero,Anio_Escolar,Periodo_Lectivo,Numero_Inasistencias,Porc_Asistencia_Refuerzo,Estado_Salud_Emocional,Acompanamiento_Integral,Animacion_Lectura,Orientacion_Vocacional,Participacion_Extracurriculares,Materias_Refuerzo,Cantidad_Proyectos,Tareas_Refuerzo_Porc,Acceso_Transporte_Privado,Uso_Comedor_Estudiantil,Acceso_Recursos_Tecnologicos,Participacion_Eventos_Culturales,Estrato_Socioeconomico,Categoria_Rendimiento
5.82,C+,14,Femenino,Noveno,2022-2023,6,0,0,B-,C-,B+,1,0,3,0,No,Diario,Si,2,Media,MuyBajo
4.96,C-,14,Masculino,Noveno,2023-2024,5,57,2,B-,C+,C-,2,3,3,60,Si,Diario,Si,2,Media,Bueno
6.58,B-,14,Masculino,Octavo,2023-2024,4,0,0,C-,D-,C+,4,0,4,0,Si,Diario,Si,1,Media,Bueno
9.37,A-,13,Masculino,Octavo,2022-2023,7,66,1,A-,B-,B-,1,3,4,96,Si,Nunca,Si,0,Alta,Bueno
7.65,B+,14,Femenino,Noveno,2023-2024,6,0,0,A+,C+,C+,0,0,3,0,No,Ocasional,Si,1,Media,Bajo
7.57,B+,17,Femenino,Segundo de Bachillerato,2022-2023,10,50,0,B+,A-,A+,3,3,4,98,No,Diario,Si,1,Baja,Variable
6.88,B-,15,Femenino,Decimo,2023-2024,7,0,0,C-,B+,C-,1,0,2,0,Si,Ocasional,No,0,Media,Bueno
6.54,B-,16,Femenino,Primero de Bachillerato,2022-2023,8,0,0,C+,D+,C-,3,0,0,0,No,Ocasional,Si,1,Media,Bueno
5.89,C+,15,Femenino,Decimo,2022-2023,8,69,1,C-,C-,C-,1,1,0,65,Si,Diario,Si,2,Media,Bajo
5.63,C+,14,Femenino,Noveno,2022-2023,7,54,1,A-,B+,C-,1,1,4,92,No,Ocasional,Si,1,Media,Bueno
5.66,C+,18,Femenino,Tercero de Bachillerato,2023-2024,10,0,1,B-,C+,D+,4,0,4,0,Si,Diario,Si,1,Media,MuyBajo
5.49,C-,14,Masculino,Octavo,2023-2024,6,62,2,B-,B-,D+,3,2,2,92,No,Diario,No,2,Media,Bajo
6.99,B-,18,Femenino,Tercero de Bachillerato,2023-2024,10,57,0,C+,C+,D+,2,1,0,54,Si,Nunca,No,2,Media,Bueno
4.59,C-,14,Femenino,Octavo,2022-2023,5,0,0,E+,A-,E-,1,0,0,0,No,Ocasional,No,0,Media,Bajo
6.99,B-,18,Femenino,Segundo de Bachillerato,2023-2024,8,0,2,A-,D+,A+,2,0,0,0,No,Nunca,Si,1,Media,Bajo
7.08,B-,18,Femenino,Tercero de Bachillerato,2023-2024,9,0,0,A-,B+,D+,2,0,3,0,No,Nunca,No,2,Baja,Bajo
6.97,B-,17,Masculino,Segundo de Bachillerato,2023-2024,10,0,1,B+,B-,C+,3,0,4,0,No,Ocasional,No,3,Media,Bueno
5.62,C+,18,Femenino,Segundo de Bachillerato,2022-2023,10,0,1,C-,C+,B+,2,0,3,0,Si,Ocasional,Si,2,Media,MuyBajo
4.14,D+,14,Femenino,Noveno,2023-2024,5,0,1,B+,D-,D-,0,0,3,0,Si,Ocasional,No,2,Media,Bueno
6.58,B-,15,Femenino,Decimo,2022-2023,8,76,0,B+,B+,C+,3,3,0,53,Si,Nunca,Si,2,Alta,Bajo
7.08,B-,13,Masculino,Octavo,2022-2023,6,96,0,B+,B-,B-,3,1,1,65,No,Diario,No,0,Media,MuyBajo
9.25,A-,17,Masculino,Primero de Bachillerato,2023-2024,8,0,1,B+,C-,B+,3,0,1,0,Si,Nunca,Si,1,Alta,Bajo
7.06,B-,17,Femenino,Segundo de Bachillerato,2023-2024,9,0,0,B+,C+,B+,2,0,3,0,Si,Ocasional,Si,1,Media,Bajo
7.78,B+,18,Masculino,Segundo de Bachillerato,2023-2024,8,0,0,C+,A-,C+,2,0,4,0,Si,Diario,Si,3,Media,Bueno
6.73,B-,18,Femenino,Tercero de Bachillerato,2023-2024,9,0,0,B+,B+,B+,2,0,3,0,Si,Nunca,Si,1,Media,Bajo
7.6,B+,18,Femenino,Tercero de Bachillerato,2022-2023,11,0,1,B+,C-,B+,2,0,0,0,No,Ocasional,Si,2,Media,Sobresaliente
5.59,C+,14,Femenino,Noveno,2023-2024,6,0,1,C+,B-,B+,0,0,2,0,No,Diario,Si,1,Media,Bajo
6.52,B-,18,Masculino,Tercero de Bachillerato,2022-2023,11,0,1,C+,C-,B-,5,0,4,0,No,Nunca,No,3,Baja,Bajo
6.62,B-,16,Masculino,Decimo,2023-2024,8,0,1,B+,B+,B+,4,0,1,0,No,Diario,Si,0,Baja,Bajo
5.99,C+,16,Femenino,Primero de Bachillerato,2022-2023,8,0,0,C+,C-,B+,1,0,4,0,Si,Ocasional,No,2,Media,Bajo
6.39,C+,14,Femenino,Noveno,2022-2023,7,53,0,C-,D+,B+,0,3,4,80,Si,Ocasional,Si,2,Media,Bueno
7.6,B+,17,Femenino,Segundo de Bachillerato,2022-2023,9,0,1,B-,B+,C-,1,0,0,0,No,Ocasional,No,1,Baja,Bajo
6.5,C+,15,Masculino,Noveno,2022-2023,6,0,0,D-,B-,B+,2,0,0,0,No,Ocasional,Si,1,Baja,Bajo
8.24,B+,16,Femenino,Decimo,2023-2024,6,0,0,C+,C+,B-,0,0,0,0,No,Nunca,No,2,Baja,Bueno
6.52,B-,14,Masculino,Noveno,2023-2024,7,87,0,D+,C+,B-,3,2,2,63,Si,Nunca,Si,2,Alta,Bajo
5.64,C+,13,Masculino,Octavo,2022-2023,6,0,0,C+,C+,A+,4,0,2,0,Si,Nunca,Si,0,Media,Variable
6.72,B-,15,Femenino,Decimo,2022-2023,8,0,1,B+,B+,A+,0,0,3,0,No,Diario,No,0,Media,Bajo
6.25,C+,15,Femenino,Noveno,2022-2023,6,54,0,D-,D+,B-,1,3,2,66,No,Ocasional,Si,0,Media,Bajo
5.82,C+,13,Masculino,Octavo,2022-2023,5,73,0,B+,C-,C+,3,1,2,78,Si,Diario,No,2,Media,MuyBajo
6.63,B-,15,Femenino,Noveno,2023-2024,5,92,1,A-,A+,B+,2,3,2,56,Si,Ocasional,Si,0,Media,Bajo
5.46,C-,13,Femenino,Octavo,2023-2024,4,97,0,D-,B-,C-,1,2,1,68,No,Ocasional,No,2,Media,Bajo
4.38,D+,14,Femenino,Octavo,2022-2023,6,0,0,C-,B+,E-,1,0,2,0,Si,Diario,Si,2,Media,Bueno
5.97,C+,17,Femenino,Primero de Bachillerato,2022-2023,9,0,2,C+,D+,C+,3,0,0,0,Si,Nunca,Si,0,Alta,Bajo
7.86,B+,14,Femenino,Octavo,2022-2023,6,67,1,B-,B+,B-,0,1,2,71,No,Diario,Si,0,Media,MuyBajo
6.04,C+,13,Femenino,Octavo,2022-2023,6,0,0,C+,B-,B-,3,0,0,0,Si,Diario,No,2,Media,Bajo
5.72,C+,14,Femenino,Noveno,2022-2023,6,94,1,C+,B+,B-,1,3,4,52,No,Diario,No,1,Baja,Bueno
6.6,B-,16,Femenino,Decimo,2023-2024,6,0,1,B-,B+,B+,3,0,0,0,No,Diario,No,0,Media,Bueno
4.36,D+,15,Masculino,Decimo,2023-2024,7,100,0,E+,D-,D-,1,2,1,63,Si,Nunca,Si,2,Alta,Bueno
6.46,C+,16,Masculino,Decimo,2022-2023,7,0,0,C-,C+,B-,3,0,3,0,No,Ocasional,Si,2,Media,MuyBajo
4.09,D+,14,Femenino,Octavo,2023-2024,4,0,1,B-,E-,C-,1,0,1,0,Si,Ocasional,No,0,Media,Variable
5.27,C-,13,Masculino,Octavo,2022-2023,5,61,0,A+,A-,E-,3,2,1,92,Si,Ocasional,Si,2,Media,Bajo
5.15,C-,13,Femenino,Octavo,2022-2023,5,100,0,B+,C+,E-,0,2,1,52,No,Ocasional,No,1,Baja,Variable
4.26,D+,13,Masculino,Octavo,2023-2024,5,72,2,D-,D+,E-,3,1,1,64,Si,Ocasional,Si,0,Media,MuyBajo
6.82,B-,13,Femenino,Octavo,2022-2023,6,67,0,D+,A-,B+,0,2,4,72,No,Nunca,No,2,Media,Bajo
7.65,B+,14,Masculino,Noveno,2022-2023,8,84,0,B+,A-,C+,3,1,1,57,No,Ocasional,Si,1,Media,Bueno
6.25,C+,15,Femenino,Noveno,2023-2024,6,0,1,C+,C-,D+,0,0,4,0,No,Nunca,Si,0,Media,Bajo
7.75,B+,17,Masculino,Segundo de Bachillerato,2023-2024,9,0,0,C-,B-,B+,4,0,4,0,Si,Nunca,Si,2,Alta,Bueno
7.29,B-,19,Femenino,Tercero de Bachillerato,2023-2024,9,0,0,B+,C-,C-,4,0,1,0,No,Ocasional,Si,3,Media,Bueno
6.03,C+,15,Femenino,Decimo,2022-2023,7,0,1,D+,A-,E+,3,0,4,0,No,Diario,No,0,Media,Bajo
6.66,B-,15,Masculino,Noveno,2022-2023,8,96,0,E-,B+,B-,2,2,2,77,Si,Ocasional,Si,0,Media,Bueno
6.44,C+,14,Femenino,Octavo,2022-2023,6,0,1,B+,B-,E-,0,0,2,0,No,Diario,Si,2,Baja,Bajo
6.71,B-,15,Femenino,Noveno,2023-2024,6,0,0,C-,D+,C-,3,0,3,0,No,Ocasional,Si,1,Media,Sobresaliente
6.61,B-,14,Masculino,Octavo,2023-2024,5,0,0,C+,A-,B+,2,0,3,0,Si,Ocasional,Si,0,Media,Bajo
8.64,A-,15,Femenino,Noveno,2023-2024,6,93,1,A+,C-,B-,1,3,3,86,Si,Nunca,Si,1,Media,Bueno
7.35,B-,14,Femenino,Octavo,2022-2023,5,69,0,A-,A+,B-,2,1,4,77,No,Ocasional,No,2,Media,MuyBajo
5.35,C-,14,Masculino,Octavo,2023-2024,5,0,2,C+,A-,C-,4,0,3,0,No,Nunca,Si,1,Media,MuyBajo
7.89,B+,16,Femenino,Decimo,2023-2024,6,82,0,B+,B+,D+,3,3,0,60,No,Ocasional,Si,2,Media,MuyBajo
5.88,C+,14,Femenino,Noveno,2023-2024,6,0,2,C+,E+,B+,0,0,2,0,Si,Diario,Si,0,Media,Bajo
5.99,C+,14,Femenino,Noveno,2022-2023,6,0,0,C+,D+,B-,1,0,0,0,Si,Nunca,No,0,Media,Sobresaliente
6.32,C+,15,Femenino,Decimo,2023-2024,7,0,1,B+,C-,C-,0,0,3,0,Si,Diario,No,1,Media,Bueno
5.98,C+,17,Masculino,Primero de Bachillerato,2022-2023,10,0,0,B-,B+,E+,3,0,3,0,No,Ocasional,No,2,Media,Bajo
7.09,B-,14,Femenino,Noveno,2022-2023,7,65,0,C-,B-,B-,1,3,0,94,Si,Nunca,Si,0,Alta,Bajo
8.12,B+,16,Femenino,Primero de Bachillerato,2023-2024,7,0,0,A-,B+,C+,2,0,4,0,Si,Diario,No,2,Baja,Bajo
1.62,E+,14,Femenino,Noveno,2022-2023,6,0,2,D-,A+,C+,1,0,3,0,Si,Ocasional,Si,0,Media,Sobresaliente
6.03,C+,13,Femenino,Octavo,2023-2024,5,0,1,D+,B-,B+,2,0,4,0,No,Nunca,No,1,Baja,MuyBajo
6.64,B-,17,Femenino,Primero de Bachillerato,2023-2024,8,0,1,B+,C+,C+,4,0,3,0,Si,Ocasional,Si,0,Alta,Variable
6.32,C+,15,Femenino,Decimo,2023-2024,7,0,0,C-,C+,C-,1,0,2,0,No,Ocasional,Si,2,Baja,Bajo
6.36,C+,15,Masculino,Noveno,2022-2023,7,90,0,B+,B-,B-,2,2,2,78,Si,Ocasional,Si,0,Media,Bueno
7.85,B+,14,Femenino,Noveno,2022-2023,7,0,0,C+,B-,C+,2,0,4,0,Si,Nunca,Si,1,Alta,Bajo
5.2,C-,13,Masculino,Octavo,2022-2023,5,59,0,A-,D-,D-,2,2,1,94,Si,Ocasional,Si,0,Media,Bueno
6.33,C+,14,Femenino,Noveno,2023-2024,6,76,0,B+,B+,C+,2,3,0,79,No,Ocasional,Si,1,Media,Bajo
5.27,C-,18,Masculino,Tercero de Bachillerato,2022-2023,11,0,0,D-,C+,C+,5,0,0,0,No,Diario,Si,3,Baja,Bajo
7.56,B+,15,Femenino,Noveno,2022-2023,7,0,1,C+,B-,A-,3,0,2,0,Si,Ocasional,Si,0,Media,Bajo
5.59,C+,13,Femenino,Octavo,2022-2023,6,0,1,B+,C+,B-,3,0,4,0,Si,Nunca,Si,2,Alta,Bueno
8.26,B+,16,Femenino,Decimo,2023-2024,6,81,1,B+,C+,A-,1,2,0,77,No,Diario,Si,1,Media,Bajo
6.97,B-,13,Femenino,Octavo,2023-2024,5,0,0,D+,C+,C+,3,0,1,0,Si,Ocasional,Si,2,Alta,Bueno
6.93,B-,15,Masculino,Decimo,2023-2024,6,0,0,A-,C+,B-,1,0,4,0,Si,Ocasional,No,1,Media,Bueno
6.44,C+,15,Masculino,Noveno,2022-2023,8,51,0,C+,C-,C+,1,3,3,77,No,Diario,No,0,Baja,Variable
7.07,B-,13,Femenino,Octavo,2022-2023,5,0,0,B-,B-,B-,2,0,2,0,Si,Nunca,Si,1,Alta,Variable
5.83,C+,13,Femenino,Octavo,2023-2024,5,0,0,D+,D+,C-,2,0,3,0,Si,Diario,Si,1,Media,Bueno
5.19,C-,15,Femenino,Decimo,2023-2024,7,66,2,C+,B-,C-,0,2,4,51,No,Ocasional,Si,2,Media,Bueno
6.49,C+,13,Masculino,Octavo,2022-2023,6,64,2,B-,B-,C+,1,3,1,52,Si,Ocasional,Si,0,Baja,Bajo
7.06,B-,16,Masculino,Primero de Bachillerato,2022-2023,8,89,0,E-,C+,B+,3,1,0,58,Si,Ocasional,Si,1,Alta,Sobresaliente
5.72,C+,15,Masculino,Noveno,2023-2024,5,79,0,C+,C+,B-,3,2,4,60,No,Diario,Si,2,Baja,Bueno
5.57,C+,17,Femenino,Primero de Bachillerato,2022-2023,8,0,0,C-,B+,B+,2,0,0,0,Si,Diario,Si,1,Media,Bajo
6.46,C+,19,Femenino,Tercero de Bachillerato,2022-2023,10,0,0,A-,C-,B-,3,0,3,0,Si,Ocasional,Si,3,Media,Bajo
5.92,C+,17,Femenino,Segundo de Bachillerato,2023-2024,8,54,1,B+,B-,C-,2,1,4,94,No,Ocasional,Si,2,Media,Bajo
5.81,C+,15,Femenino,Decimo,2023-2024,6,72,0,C+,C-,C+,3,3,4,73,Si,Nunca,Si,0,Alta,Bajo
6.28,C+,16,Femenino,Decimo,2022-2023,8,50,1,B+,C-,A+,3,2,2,56,No,Diario,No,1,Media,MuyBajo
6.79,B-,14,Femenino,Octavo,2022-2023,6,0,1,A-,C+,E+,1,0,1,0,Si,Nunca,Si,1,Media,Bueno
6.68,B-,14,Femenino,Octavo,2022-2023,6,0,0,B-,B-,C+,3,0,3,0,No,Diario,Si,1,Baja,Bajo
5.55,C+,14,Femenino,Octavo,2023-2024,5,0,2,C-,B+,B-,2,0,0,0,No,Ocasional,No,0,Baja,Bueno
4.84,C-,13,Femenino,Octavo,2022-2023,6,0,1,C+,B+,C-,1,0,4,0,No,Ocasional,Si,1,Media,Bueno
6.9,B-,16,Femenino,Decimo,2023-2024,7,0,0,A+,B-,B+,2,0,3,0,No,Diario,Si,0,Media,Bueno
7.5,B+,15,Femenino,Decimo,2022-2023,7,0,0,C-,A+,A+,3,0,2,0,Si,Nunca,Si,0,Media,Bueno
4.84,C-,14,Masculino,Noveno,2023-2024,6,67,0,D+,C-,C+,3,3,1,50,No,Ocasional,Si,2,Baja,Bajo
7.07,B-,15,Masculino,Decimo,2022-2023,7,0,0,C+,C+,C+,4,0,4,0,No,Diario,No,1,Media,MuyBajo
7.26,B-,13,Masculino,Octavo,2022-2023,7,80,1,B-,C+,B+,4,2,0,100,Si,Diario,Si,0,Media,Bueno
6.93,B-,15,Femenino,Decimo,2022-2023,7,0,0,C-,B-,B-,3,0,1,0,No,Diario,Si,2,Media,Bueno
5.03,C-,13,Masculino,Octavo,2023-2024,6,0,0,B+,D-,B-,3,0,4,0,No,Diario,No,1,Media,Bajo
4.25,D+,16,Masculino,Decimo,2022-2023,8,0,1,C+,B+,B+,4,0,4,0,No,Nunca,Si,2,Media,Bueno
4.77,C-,13,Femenino,Octavo,2022-2023,6,94,0,B-,C-,C-,3,2,1,69,No,Diario,Si,1,Baja,Bajo
6.52,B-,13,Femenino,Octavo,2023-2024,4,0,2,B-,A-,B+,2,0,4,0,No,Diario,No,0,Baja,Bajo
7.24,B-,15,Femenino,Noveno,2023-2024,5,0,0,B+,B+,B+,1,0,3,0,No,Ocasional,Si,0,Media,Bajo
6.11,C+,14,Femenino,Noveno,2022-2023,7,0,0,C-,D-,C+,0,0,2,0,Si,Ocasional,Si,0,Media,Bajo
6.91,B-,16,Femenino,Primero de Bachillerato,2022-2023,9,0,0,B+,B+,B-,2,0,0,0,Si,Ocasional,Si,1,Alta,Bueno
5.38,C-,14,Femenino,Octavo,2022-2023,5,0,0,B+,B-,C+,2,0,0,0,Si,Ocasional,No,0,Media,Variable
5.76,C+,14,Femenino,Octavo,2023-2024,5,94,1,D+,B-,C+,1,3,0,98,No,Ocasional,Si,1,Media,Bueno
5.76,C+,15,Femenino,Decimo,2022-2023,8,0,0,C-,D+,C+,3,0,3,0,Si,Nunca,Si,1,Media,Bueno
6.56,B-,17,Masculino,Segundo de Bachillerato,2022-2023,9,53,0,C-,C+,D+,4,2,3,57,No,Diario,No,1,Media,MuyBajo
7.34,B-,14,Femenino,Noveno,2023-2024,5,0,0,B-,C-,B+,0,0,1,0,No,Diario,Si,0,Media,Bajo
5.46,C-,15,Femenino,Noveno,2023-2024,6,0,0,B-,C-,E+,0,0,0,0,Si,Ocasional,Si,0,Media,Bueno
6.65,B-,14,Femenino,Octavo,2023-2024,5,88,1,B-,C+,B+,1,3,3,74,Si,Ocasional,No,1,Media,Bueno
6.34,C+,16,Femenino,Primero de Bachillerato,2023-2024,8,0,1,B+,C+,B-,3,0,4,0,No,Ocasional,Si,2,Media,Variable
5.74,C+,13,Femenino,Octavo,2023-2024,4,0,1,A+,C-,E+,1,0,1,0,Si,Nunca,Si,2,Media,Variable
7.23,B-,15,Masculino,Decimo,2023-2024,8,55,0,B-,B-,C+,2,1,0,61,Si,Nunca,Si,2,Alta,Bajo
6.63,B-,13,Masculino,Octavo,2022-2023,5,76,0,D+,E-,C+,4,3,2,88,No,Ocasional,Si,1,Media,MuyBajo
7.92,B+,15,Femenino,Decimo,2023-2024,6,0,0,B-,B-,B-,2,0,2,0,No,Ocasional,No,2,Baja,Bajo
6.44,C+,14,Femenino,Octavo,2023-2024,5,0,0,D-,C+,C+,0,0,1,0,No,Ocasional,Si,2,Media,Bajo
5.7,C+,14,Femenino,Noveno,2022-2023,6,0,2,B-,B-,B+,3,0,4,0,Si,Diario,Si,0,Media,Bajo
6.09,C+,14,Femenino,Noveno,2022-2023,6,0,0,B+,C+,B-,2,0,0,0,No,Diario,No,0,Baja,Bajo
4.66,C-,13,Masculino,Octavo,2022-2023,5,0,2,C+,C-,B-,3,0,4,0,No,Nunca,Si,2,Media,Bajo
6.64,B-,15,Masculino,Decimo,2023-2024,7,0,0,B+,B-,B-,1,0,2,0,Si,Diario,Si,1,Media,Bajo
1.84,E+,16,Femenino,Decimo,2022-2023,8,0,1,C+,D+,D+,2,0,4,0,Si,Nunca,Si,2,Media,MuyBajo
6.15,C+,14,Femenino,Noveno,2023-2024,6,0,0,C-,B-,C+,0,0,0,0,Si,Nunca,Si,2,Alta,Bajo
5.62,C+,16,Femenino,Primero de Bachillerato,2022-2023,9,0,1,B-,D+,B-,3,0,0,0,Si,Ocasional,No,0,Media,Bueno
7.68,B+,13,Femenino,Octavo,2023-2024,4,98,0,C+,C+,B-,2,3,3,52,Si,Ocasional,Si,0,Media,Bajo
6.0,C+,14,Femenino,Octavo,2023-2024,5,0,0,A+,B-,C+,2,0,4,0,Si,Diario,Si,0,Media,Bueno
4.82,C-,14,Femenino,Noveno,2022-2023,7,0,2,D+,B-,C+,0,0,2,0,No,Diario,No,1,Baja,Bajo
5.44,C-,14,Femenino,Noveno,2023-2024,6,70,0,C-,C-,B-,0,1,3,71,Si,Diario,Si,1,Media,Bajo
4.96,C-,14,Femenino,Noveno,2023-2024,6,0,1,B-,B-,E-,0,0,0,0,No,Ocasional,Si,1,Media,Bajo
4.38,D+,13,Femenino,Octavo,2022-2023,6,0,2,C-,D+,C+,2,0,3,0,Si,Ocasional,Si,0,Media,Bajo
7.14,B-,14,Femenino,Octavo,2022-2023,5,92,1,B-,C+,B-,3,2,4,53,No,Diario,No,0,Baja,Bajo
6.02,C+,16,Femenino,Primero de Bachillerato,2023-2024,8,0,1,D-,C+,B+,4,0,1,0,No,Ocasional,No,0,Media,Bueno
7.58,B+,17,Femenino,Segundo de Bachillerato,2022-2023,9,0,1,B+,C+,B-,3,0,3,0,No,Diario,Si,2,Media,Bueno
7.21,B-,18,Masculino,Tercero de Bachillerato,2023-2024,9,90,0,C-,C-,C-,3,3,4,60,No,Ocasional,No,2,Baja,Bajo
6.53,B-,14,Masculino,Noveno,2022-2023,8,0,0,B+,B-,C-,4,0,1,0,Si,Nunca,Si,0,Media,Bajo
6.46,C+,14,Masculino,Noveno,2023-2024,6,57,0,B-,B-,B+,2,2,4,95,No,Nunca,Si,1,Media,MuyBajo
6.63,B-,16,Masculino,Decimo,2023-2024,7,76,1,D+,B+,C+,4,2,4,65,No,Ocasional,Si,1,Media,Bajo
6.21,C+,15,Masculino,Decimo,2023-2024,7,62,0,C-,B+,B+,2,1,2,67,No,Diario,No,1,Baja,Bajo
6.53,B-,14,Femenino,Octavo,2023-2024,5,50,1,B+,B-,B-,2,3,4,69,Si,Ocasional,Si,2,Alta,Bajo
6.78,B-,18,Femenino,Segundo de Bachillerato,2022-2023,10,0,1,B-,B-,C+,2,0,4,0,Si,Diario,No,2,Baja,MuyBajo
6.24,C+,15,Femenino,Decimo,2022-2023,8,0,1,B-,A-,D-,2,0,4,0,Si,Ocasional,Si,2,Media,Bueno
5.53,C+,13,Femenino,Octavo,2023-2024,5,0,1,C+,B+,B-,2,0,1,0,Si,Ocasional,Si,0,Media,Bueno
6.37,C+,15,Femenino,Noveno,2023-2024,6,64,0,B-,D+,B-,3,1,3,70,Si,Ocasional,Si,2,Media,Bueno
7.65,B+,15,Masculino,Noveno,2022-2023,7,0,0,B-,B-,C+,4,0,1,0,Si,Nunca,No,2,Alta,Bajo
6.71,B-,16,Femenino,Primero de Bachillerato,2023-2024,7,0,0,C-,C-,B+,2,0,4,0,Si,Diario,No,2,Baja,Bajo
5.49,C-,14,Femenino,Noveno,2022-2023,6,0,2,A+,C-,D+,3,0,4,0,No,Ocasional,Si,0,Media,Bueno
4.57,C-,14,Masculino,Noveno,2023-2024,5,96,2,C-,D-,E-,2,2,0,91,No,Diario,Si,0,Media,MuyBajo
5.62,C+,13,Masculino,Octavo,2023-2024,5,0,0,C+,C-,B-,3,0,3,0,Si,Ocasional,No,2,Media,Bajo
4.94,C-,14,Femenino,Octavo,2022-2023,5,71,0,D-,B+,C+,3,2,3,90,Si,Nunca,Si,2,Alta,Bueno
6.92,B-,15,Femenino,Noveno,2023-2024,5,0,0,B+,B-,A-,0,0,2,0,No,Ocasional,No,0,Media,MuyBajo
5.97,C+,15,Femenino,Decimo,2022-2023,7,0,0,D+,C-,D-,3,0,0,0,No,Nunca,No,0,Media,Sobresaliente
7.25,B-,15,Femenino,Decimo,2022-2023,7,94,0,C-,C+,B-,2,1,0,52,Si,Ocasional,No,1,Media,Bueno
6.02,C+,16,Femenino,Primero de Bachillerato,2023-2024,8,0,0,C+,B-,B+,3,0,1,0,Si,Nunca,No,1,Alta,Bajo
5.3,C-,14,Femenino,Noveno,2022-2023,7,86,2,B-,C+,C-,1,1,4,61,No,Ocasional,Si,0,Media,Variable
5.05,C-,14,Masculino,Noveno,2022-2023,8,0,0,B-,D+,D-,2,0,4,0,Si,Nunca,Si,1,Alta,MuyBajo
6.56,B-,14,Femenino,Noveno,2023-2024,5,79,0,B-,C-,B-,2,2,0,66,No,Diario,Si,2,Baja,Bueno
6.49,C+,17,Masculino,Segundo de Bachillerato,2023-2024,9,0,1,C+,B-,C-,3,0,3,0,Si,Nunca,Si,1,Media,Bueno
7.4,B-,13,Femenino,Octavo,2022-2023,6,90,0,A-,C+,E+,3,3,2,66,Si,Ocasional,Si,1,Media,MuyBajo
6.49,C+,14,Femenino,Noveno,2022-2023,7,0,0,D+,B-,C-,3,0,1,0,No,Ocasional,Si,0,Media,Bueno
